DJ|Playlists|X|Y
Diesel Smoke & Dangerous Curves|http://wfmu.org/playlists/DJ|  0.769810|  2.521199
Distort Jersey City|http://wfmu.org/playlists/RD| -0.750505| -1.869173
Do or DIY|http://wfmu.org/playlists/PL| -2.744629|  0.516652
The Eternal Now|http://wfmu.org/playlists/AO| -1.378387| -0.971315
Evan Muse|http://wfmu.org/playlists/EM| -3.566805| -1.234787
Explorers Room|http://wfmu.org/playlists/EX|  0.936652| -1.573945
Fringe Factory|http://wfmu.org/playlists/FY|  1.845810|  1.207641
Gateway to Joy|http://wfmu.org/playlists/DB| -2.449704| -0.243248
Give The Drummer Some|http://wfmu.org/playlists/DS|  1.449718|  4.354398
Global Grease|http://wfmu.org/playlists/GL|  0.828517| -1.234510
Greasy Kid Stuff|http://wfmu.org/playlists/GK| -1.232982|  2.371863
Hatch|http://wfmu.org/playlists/HM| -2.689098| -2.055660
Hinky Dinky Time|http://wfmu.org/playlists/HD|  0.299475|  1.436731
HotRod|http://wfmu.org/playlists/HR| -0.404844| -3.856310
Hova|http://wfmu.org/playlists/HN| -0.903092|  1.948436
If You Lose Your Horse|http://wfmu.org/playlists/AI|  1.728581| -1.738648
I'm Sorry I Had To Kill That Guy|http://wfmu.org/playlists/LP| -0.898974|  0.225444
Infinite Distortion|http://wfmu.org/playlists/DT| -0.699772| -1.549626
Inner Ear Detour|http://wfmu.org/playlists/IE| -1.467566|  1.745420
Ira|http://wfmu.org/playlists/IK|  1.230996| -0.012240
Jack Mello|http://wfmu.org/playlists/JK| -0.146232| -2.692115
Janitor From Mars|http://wfmu.org/playlists/LI| -2.633408| -1.014907
Jason Elbogen|http://wfmu.org/playlists/JL|  4.027438|  1.769528
Kaminsky Kamoutsky with Jesse|http://wfmu.org/playlists/KK|  0.818107| -2.359563
Karaoke Alarm Clock|http://wfmu.org/playlists/JD| -0.830479|  0.732929
Kenny G's Hour of Pain|http://wfmu.org/playlists/KG| -2.672620|  0.398793
Ken's Last Ever Radio Extravaganza|http://wfmu.org/playlists/LE| -1.603545|  0.159754
Knuckle Sandwich|http://wfmu.org/playlists/KW|  2.068519| -0.982389
Lamin|http://wfmu.org/playlists/FF| -0.125706| -2.769641
Live Broadcasts and Special Events|http://wfmu.org/playlists/SZ|  0.257986| -0.828466
The Magic Hour|http://wfmu.org/playlists/HU|  0.591169| -0.056612
Marc Grobman|http://wfmu.org/playlists/MG|  0.772783|  2.994974
Mark Allen|http://wfmu.org/playlists/MR| -1.464139| -0.288954
Martha|http://wfmu.org/playlists/MH|  3.904620| -0.200654
Matt Fiveash|http://wfmu.org/playlists/FE|  1.181854|  1.590007
